date,adj_close,close,high,low,open,volume
2010-01-04,42.96149826049805,57.310001373291016,57.380001068115234,56.84000015258789,56.86000061035156,2251500
2010-01-05,43.12643051147461,57.529998779296875,57.540000915527344,57.11000061035156,57.34000015258789,1597700
2010-01-06,43.1863899230957,57.61000061035156,57.720001220703125,57.40999984741211,57.5,2120300
2010-01-07,43.36629104614258,57.849998474121094,57.88999938964844,57.290000915527344,57.54999923706055,1656700
2010-01-08,43.50875473022461,58.040000915527344,58.04999923706055,57.560001373291016,57.70000076293945,1650000
2010-01-11,43.568695068359375,58.119998931884766,58.349998474121094,57.849998474121094,58.29999923706055,1883100
2010-01-12,43.11893081665039,57.52000045776367,57.81999969482422,57.29999923706055,57.75,1730100
2010-01-13,43.52372741699219,58.060001373291016,58.18000030517578,57.36000061035156,57.709999084472656,1825200
2010-01-14,43.59869384765625,58.15999984741211,58.279998779296875,57.939998626708984,58.02000045776367,1667100
2010-01-15,43.10393142700195,57.5,58.150001525878906,57.29999923706055,58.099998474121094,2785900
2010-01-19,43.67365264892578,58.2599983215332,58.290000915527344,57.52000045776367,57.54999923706055,2546700
2010-01-20,43.26886749267578,57.720001220703125,57.900001525878906,57.209999084472656,57.900001525878906,2755100
2010-01-21,42.47423553466797,56.65999984741211,57.90999984741211,56.56999969482422,57.720001220703125,4350700
2010-01-22,41.53718566894531,55.40999984741211,56.599998474121094,55.310001373291016,56.400001525878906,4423000
2010-01-25,41.717098236083984,55.650001525878906,55.970001220703125,55.459999084472656,55.880001068115234,2781100
2010-01-26,41.52969741821289,55.400001525878906,55.9900016784668,55.27000045776367,55.45000076293945,1704300
2010-01-27,41.73210144042969,55.66999816894531,55.75,54.869998931884766,55.29999923706055,2077900
2010-01-28,41.237335205078125,55.0099983215332,55.88999938964844,54.650001525878906,55.88999938964844,2235100
2010-01-29,40.75008773803711,54.36000061035156,55.650001525878906,54.279998779296875,55.2400016784668,2421800
2010-02-01,41.372276306152344,55.189998626708984,55.2400016784668,54.70000076293945,54.720001220703125,2132800
2010-02-02,41.90451431274414,55.900001525878906,56.029998779296875,55.130001068115234,55.34000015258789,2565500
2010-02-03,41.69462966918945,55.619998931884766,55.91999816894531,55.43000030517578,55.66999816894531,1352600
2010-02-04,40.39775848388672,53.88999938964844,55.18000030517578,53.86000061035156,55.16999816894531,3029700
2010-02-05,40.46522521972656,53.97999954223633,54.06999969482422,52.81999969482422,53.880001068115234,5416200
