date,adj_close,close,high,low,open,volume
2010-09-09,76.3131332397461,101.31999969482422,102.5,101.13999938964844,102.5,26500
2010-09-10,76.65958404541016,101.77999877929688,101.86000061035156,101.30000305175781,101.68000030517578,8600
2010-09-13,77.6236572265625,103.05999755859375,103.13999938964844,102.5,102.95999908447266,33750
2010-09-14,77.6086196899414,103.04000091552734,103.4800033569336,102.37999725341797,102.83999633789062,59400
2010-09-15,77.804443359375,103.30000305175781,103.37999725341797,102.4000015258789,102.62000274658203,9250
2010-09-16,77.77432250976562,103.26000213623047,103.31999969482422,102.69999694824219,103.0199966430664,59550
2010-09-17,77.84962463378906,103.36000061035156,103.87999725341797,103.0199966430664,103.87999725341797,49350
2010-09-20,79.11498260498047,105.04000091552734,105.04000091552734,103.45999908447266,103.73999786376953,19000
2010-09-21,78.87397766113281,104.72000122070312,105.44000244140625,104.27999877929688,105.0199966430664,19250
2010-09-22,78.45217895507812,104.16000366210938,105.04000091552734,103.95999908447266,104.55999755859375,18100
2010-09-23,77.804443359375,103.30000305175781,104.33999633789062,103.12000274658203,103.31999969482422,33350
2010-09-24,79.3932113647461,104.83999633789062,104.9000015258789,103.86000061035156,103.94000244140625,24100
2010-09-27,79.01459503173828,104.33999633789062,104.9800033569336,104.33999633789062,104.9800033569336,15000
2010-09-28,79.52952575683594,105.0199966430664,105.0199966430664,103.41999816894531,104.31999969482422,49850
2010-09-29,79.15087890625,104.5199966430664,104.91999816894531,104.22000122070312,104.58000183105469,15900
2010-09-30,79.0296859741211,104.36000061035156,105.68000030517578,103.95999908447266,105.19999694824219,44750
2010-10-01,79.30233764648438,104.72000122070312,105.16000366210938,104.16000366210938,105.08000183105469,17100
2010-10-04,78.63592529296875,103.83999633789062,105.26000213623047,103.5,105.26000213623047,88700
2010-10-05,80.36253356933594,106.12000274658203,106.19999694824219,104.81999969482422,105.0199966430664,19850
2010-10-06,80.2262191772461,105.94000244140625,106.27999877929688,105.62000274658203,106.12000274658203,276900
2010-10-07,80.18077850341797,105.87999725341797,106.5,105.31999969482422,106.5,49900
2010-10-08,80.78660583496094,106.68000030517578,106.73999786376953,105.66000366210938,106.0199966430664,61550
2010-10-11,80.65029907226562,106.5,106.83999633789062,106.27999877929688,106.72000122070312,14200
2010-10-12,81.11981201171875,107.12000274658203,107.23999786376953,105.73999786376953,106.37999725341797,42050
2010-10-13,81.60447692871094,107.76000213623047,108.27999877929688,107.23999786376953,107.58000183105469,74450
2010-10-14,81.30155944824219,107.36000061035156,107.81999969482422,106.80000305175781,107.69999694824219,19100
2010-10-15,81.45299530029297,107.55999755859375,108.08000183105469,106.72000122070312,108.04000091552734,54950
2010-10-18,82.04368591308594,108.33999633789062,108.44000244140625,107.44000244140625,107.62000274658203,22850
2010-10-19,80.74117279052734,106.62000274658203,107.68000030517578,106.0199966430664,107.13999938964844,38550
2010-10-20,81.60447692871094,107.76000213623047,108.16000366210938,106.94000244140625,106.94000244140625,22800
2010-10-21,81.72563934326172,107.91999816894531,108.76000213623047,107.30000305175781,108.26000213623047,29400
2010-10-22,81.92254638671875,108.18000030517578,108.19999694824219,107.94000244140625,108.16000366210938,24850
2010-10-25,82.16481018066406,108.5,109.27999877929688,108.45999908447266,109.0199966430664,29600
2010-10-26,82.14970397949219,108.4800033569336,108.55999755859375,107.87999725341797,107.91999816894531,15000
2010-10-27,81.89224243164062,108.13999938964844,108.22000122070312,107.22000122070312,107.73999786376953,17150
2010-10-28,81.95281219482422,108.22000122070312,108.81999969482422,107.76000213623047,108.76000213623047,19250
2010-10-29,82.01342010498047,108.30000305175781,108.41999816894531,108.0,108.0999984741211,13400
2010-11-01,82.05882263183594,108.36000061035156,109.41999816894531,107.76000213623047,108.91999816894531,51550
2010-11-02,82.69493865966797,109.19999694824219,109.41999816894531,108.86000061035156,109.22000122070312,26100
2010-11-03,83.04330444335938,109.66000366210938,109.66000366210938,108.31999969482422,109.41999816894531,31850
2010-11-04,84.60330200195312,111.72000122070312,111.80000305175781,110.73999786376953,110.9000015258789,49000
2010-11-05,84.9365234375,112.16000366210938,112.30000305175781,111.68000030517578,111.9000015258789,48300
2010-11-08,84.83047485351562,112.0199966430664,112.08000183105469,111.5,111.87999725341797,43400
2010-11-09,84.16407012939453,111.13999938964844,112.30000305175781,110.80000305175781,112.18000030517578,35700
2010-11-10,84.48213195800781,111.55999755859375,111.5999984741211,110.31999969482422,111.16000366210938,28200
2010-11-11,84.20948791503906,111.19999694824219,111.27999877929688,110.41999816894531,110.68000030517578,24000
2010-11-12,83.16447448730469,109.81999969482422,110.86000061035156,109.37999725341797,110.4000015258789,39450
2010-11-15,83.0887451171875,109.72000122070312,110.5199966430664,109.63999938964844,110.30000305175781,202750
2010-11-16,81.75592803955078,107.95999908447266,109.0199966430664,107.4800033569336,109.0199966430664,32850
2010-11-17,81.8165054321289,108.04000091552734,108.45999908447266,107.77999877929688,108.05999755859375,42450
2010-11-18,83.02815246582031,109.63999938964844,109.91999816894531,109.08000183105469,109.08000183105469,26100
