observations,balanced_accuracy,roc_auc,brier,ece,probability_mean,probability_std,probability_min,probability_max,positive_rate,collapse_flag,asset,asset_class,model,seed,fold_id,dataset_hash,feature_hash
21,0.5,0.8461538461538461,0.24220276988009554,0.10876460348785244,0.7278122225354715,0.014023257415840413,0.696329762598768,0.7443820914697901,1.0,True,SPY,etfs,LightGBM,17,monthly_expanding_01,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
21,0.5,0.8461538461538461,0.24071786594097977,0.09543946243467782,0.7144870814822969,0.011831659027685648,0.6870662569999695,0.7265757918357849,1.0,True,SPY,etfs,XGBoost,17,monthly_expanding_01,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
21,0.5,0.0,0.2636440104314663,0.07418251408914167,0.5448651049584774,0.022956962267531623,0.5216537652241714,0.5771310774911512,1.0,True,SPY,etfs,CatBoost,17,monthly_expanding_01,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
21,0.4423076923076923,0.5,0.3242546707856062,0.3307162147065517,0.44164807937896683,0.2443422584342456,0.018217355778746724,0.8534571059651607,0.42857142857142855,False,SPY,etfs,random,23,monthly_expanding_01,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
21,0.5,0.5,0.2401536421167778,0.06577216521967888,0.684819784267298,1.1102230246251565e-16,0.6848197842672981,0.6848197842672981,1.0,True,SPY,etfs,historical_mean,23,monthly_expanding_01,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
21,0.3798076923076923,0.3798076923076923,0.264404761904762,0.1214285714285715,0.49761904761904757,0.049943278484292954,0.45,0.55,0.47619047619047616,False,SPY,etfs,random_walk,23,monthly_expanding_01,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
21,0.5,0.5,0.38095238095238093,0.38095238095238093,1.0,0.0,1.0,1.0,1.0,True,SPY,etfs,buy_hold,23,monthly_expanding_01,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
21,0.5,0.5,0.264404761904762,0.16904761904761917,0.4499999999999999,1.1102230246251565e-16,0.45,0.45,0.0,True,SPY,etfs,momentum,23,monthly_expanding_01,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
21,0.5,0.5,0.264404761904762,0.16904761904761917,0.4499999999999999,1.1102230246251565e-16,0.45,0.45,0.0,True,SPY,etfs,moving_average,23,monthly_expanding_01,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
21,0.38461538461538464,0.5096153846153846,0.2851253388136283,0.30882242422316447,0.6858439452342505,0.15953135916326006,0.3499609285845456,0.899007922379592,0.8571428571428571,False,SPY,etfs,logistic_regression,23,monthly_expanding_01,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
21,0.5,0.8461538461538461,0.24212074066229688,0.10861228252435373,0.7276599015719728,0.014151683987114416,0.6958107054819274,0.7442888046535096,1.0,True,SPY,etfs,LightGBM,23,monthly_expanding_01,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
21,0.5,0.07692307692307693,0.24782451694384158,0.10159304879960562,0.7206406678472247,0.002091535774652017,0.7186464667320251,0.7228342890739441,1.0,True,SPY,etfs,XGBoost,23,monthly_expanding_01,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
21,0.5,0.8076923076923077,0.23834493560058292,0.06315767229966507,0.555889946747954,0.0022345174281091377,0.5515061445066761,0.5580429829020522,1.0,True,SPY,etfs,CatBoost,23,monthly_expanding_01,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
21,0.3942307692307692,0.33653846153846156,0.3809773140273832,0.36629119255501785,0.5826157969526858,0.273471011296647,0.06381725610417532,0.9756223516367559,0.6190476190476191,False,SPY,etfs,random,42,monthly_expanding_01,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
21,0.5,0.5,0.2401536421167778,0.06577216521967888,0.684819784267298,1.1102230246251565e-16,0.6848197842672981,0.6848197842672981,1.0,True,SPY,etfs,historical_mean,42,monthly_expanding_01,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
21,0.3798076923076923,0.3798076923076923,0.264404761904762,0.1214285714285715,0.49761904761904757,0.049943278484292954,0.45,0.55,0.47619047619047616,False,SPY,etfs,random_walk,42,monthly_expanding_01,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
21,0.5,0.5,0.38095238095238093,0.38095238095238093,1.0,0.0,1.0,1.0,1.0,True,SPY,etfs,buy_hold,42,monthly_expanding_01,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
21,0.5,0.5,0.264404761904762,0.16904761904761917,0.4499999999999999,1.1102230246251565e-16,0.45,0.45,0.0,True,SPY,etfs,momentum,42,monthly_expanding_01,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
21,0.5,0.5,0.264404761904762,0.16904761904761917,0.4499999999999999,1.1102230246251565e-16,0.45,0.45,0.0,True,SPY,etfs,moving_average,42,monthly_expanding_01,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
21,0.38461538461538464,0.5096153846153846,0.2851253388136283,0.30882242422316447,0.6858439452342505,0.15953135916326006,0.3499609285845456,0.899007922379592,0.8571428571428571,False,SPY,etfs,logistic_regression,42,monthly_expanding_01,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
21,0.5,0.8461538461538461,0.24467305926959892,0.10883571782477308,0.7278833368723922,0.011287078045903199,0.6989683206873548,0.7381386822146595,1.0,True,SPY,etfs,LightGBM,42,monthly_expanding_01,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
21,0.5,0.46153846153846156,0.2451633592395686,0.10001169783728459,0.7190593168849037,0.010404799376185573,0.6933598518371582,0.7313362956047058,1.0,True,SPY,etfs,XGBoost,42,monthly_expanding_01,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
21,0.5,0.0,0.25531410044024455,0.0743008330159709,0.5447467860316482,0.01522946965122789,0.5160058107459853,0.5637061295116592,1.0,True,SPY,etfs,CatBoost,42,monthly_expanding_01,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
21,0.5357142857142857,0.5,0.3456239018457798,0.5057814317481591,0.4942185682518409,0.2996815729145888,0.028689008371944547,0.9809136392973055,0.5714285714285714,False,SPY,etfs,random,11,monthly_expanding_02,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
21,0.75,0.5,0.101724612881823,0.3189429618001045,0.6810570381998955,1.1102230246251565e-16,0.6810570381998954,0.6810570381998954,1.0,True,SPY,etfs,historical_mean,11,monthly_expanding_02,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
