block_length,ci_low,ci_high,circular_shift_p,asset,model,seed,fold_id
25,,,,SPY,random,42,monthly_expanding_01
40,,,,SPY,random,42,monthly_expanding_01
20,0.5,0.5,1.0,SPY,historical_mean,42,monthly_expanding_01
25,,,,SPY,historical_mean,42,monthly_expanding_01
40,,,,SPY,historical_mean,42,monthly_expanding_01
20,0.375,0.3798076923076923,1.0,SPY,random_walk,42,monthly_expanding_01
25,,,,SPY,random_walk,42,monthly_expanding_01
40,,,,SPY,random_walk,42,monthly_expanding_01
20,0.5,0.5,1.0,SPY,buy_hold,42,monthly_expanding_01
25,,,,SPY,buy_hold,42,monthly_expanding_01
40,,,,SPY,buy_hold,42,monthly_expanding_01
20,0.5,0.5,1.0,SPY,momentum,42,monthly_expanding_01
25,,,,SPY,momentum,42,monthly_expanding_01
40,,,,SPY,momentum,42,monthly_expanding_01
20,0.5,0.5,1.0,SPY,moving_average,42,monthly_expanding_01
25,,,,SPY,moving_average,42,monthly_expanding_01
40,,,,SPY,moving_average,42,monthly_expanding_01
20,0.375,0.38461538461538464,1.0,SPY,logistic_regression,42,monthly_expanding_01
25,,,,SPY,logistic_regression,42,monthly_expanding_01
40,,,,SPY,logistic_regression,42,monthly_expanding_01
20,0.5,0.5,1.0,SPY,LightGBM,42,monthly_expanding_01
25,,,,SPY,LightGBM,42,monthly_expanding_01
40,,,,SPY,LightGBM,42,monthly_expanding_01
20,0.5,0.5,1.0,SPY,XGBoost,42,monthly_expanding_01
25,,,,SPY,XGBoost,42,monthly_expanding_01
40,,,,SPY,XGBoost,42,monthly_expanding_01
20,0.5,0.5,1.0,SPY,CatBoost,42,monthly_expanding_01
25,,,,SPY,CatBoost,42,monthly_expanding_01
40,,,,SPY,CatBoost,42,monthly_expanding_01
20,0.5119047619047619,0.5357142857142857,1.0,SPY,random,11,monthly_expanding_02
25,,,,SPY,random,11,monthly_expanding_02
40,,,,SPY,random,11,monthly_expanding_02
