observations,folds,period_start,period_end,balanced_accuracy,baseline_balanced_accuracy,accuracy,roc_auc,brier,ece,mean_return,block_bootstrap_ci_low,block_bootstrap_ci_high,permutation_p,net_return_realistic,sharpe_realistic,sortino_realistic,calmar_realistic,max_drawdown_realistic,turnover_realistic,break_even_cost_bps,run_id,experiment_id,asset,safe_name,asset_class,model,seed,retraining_frequency,training_mode,hyperparameter_variant,feature_ablation,dataset_hash,feature_hash,feature_count,top_native_importance,shap_status,decision,failure_type
42,2,2025-03-24,2025-05-21,0.19117647058823528,0.7058823529411764,0.30952380952380953,0.19117647058823528,0.24883821566096992,0.30192931431206443,0.0025602077270248263,0.07142857142857142,0.6434523809523811,1.0,0.07788622309279614,0.42075102650822177,1.2643182613171104,0.13176913008662233,-0.5910809537984756,3.0,199.9969482421875,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030_SPY_LightGBM_monthly_expanding_base_noisy_full,SPY,SPY,etfs,LightGBM,42,monthly_expanding,expanding,base,noisy_full,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09,168,ema_5:4.0000|volume_nvi:4.0000|sma_200:3.0000|volume_vpt:3.0000|momentum_tsi:3.0000|volume_adi:6.0000|adj_close:3.0000|volume_vpt:3.0000|volume_nvi:3.0000|momentum_tsi:3.0000,not_run_dependency_unavailable,reject,weak_directional_evidence|large_drawdown|confidence_interval_crosses_chance|weak_permutation_evidence
10,2,2025-05-13,2025-05-27,0.75,0.75,1.0,0.5,0.18849584621003607,0.4340547263622284,0.022567676014848992,1.0,1.0,1.0,0.2668709987498983,4.4748441257912575,0.0,0.0,0.0,1.0,199.9969482421875,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030_SPY_XGBoost_weekly_expanding_base_full,SPY,SPY,etfs,XGBoost,42,weekly_expanding,expanding,base,full,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09,168,sma_200_research:0.1848|sma_20_research:0.1837|volume_adi:0.1087|momentum_200_research:0.0763|volatility_200_research:0.0692|sma_200_research:0.1705|sma_200:0.1058|ema_100:0.0793|volume_adi:0.0785|momentum_200_research:0.0702,not_run_dependency_unavailable,defer,weak_permutation_evidence
42,2,2025-03-24,2025-05-21,0.5,0.7058823529411764,0.8095238095238095,0.36764705882352944,0.23465544171475955,0.28275291550727116,0.048105875942442665,0.5476190476190477,1.0,1.0,0.7717085294697303,3.4010732716623506,7.545561678472722,4.642888833746728,-0.1662130102837236,1.0,199.9969482421875,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030_SPY_XGBoost_monthly_expanding_base_full,SPY,SPY,etfs,XGBoost,42,monthly_expanding,expanding,base,full,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09,168,volatility_dcm:0.1202|volatility_100:0.0708|sma_200_research:0.0656|trend_ichimoku_a:0.0647|volume_sma_200:0.0575|high:0.1507|trend_ichimoku_conv:0.0960|ema_10:0.0893|volume_obv:0.0855|volatility_200_research:0.0755,not_run_dependency_unavailable,reject,weak_directional_evidence|weak_permutation_evidence
126,2,2024-11-18,2025-05-21,0.5,0.4103212749810271,0.46825396825396826,0.4663546673412598,0.30932746454371396,0.24030488114508375,0.0009024134559823715,0.285515873015873,0.6351190476190476,1.0,-0.009874423266859611,0.0423912810971635,0.08277248152868523,-0.010777929386131285,-0.916170714531283,1.0,0.0,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030_SPY_XGBoost_quarterly_expanding_base_full,SPY,SPY,etfs,XGBoost,42,quarterly_expanding,expanding,base,full,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09,168,ema_200:0.1313|sma_5_research:0.1072|volume_nvi:0.1052|trend_sma_fast:0.0727|volatility_20:0.0595|ema_10:0.1281|momentum_200_research:0.0908|volume_vpt:0.0802|sma_200_research:0.0525|trend_adx_neg:0.0514,not_run_dependency_unavailable,reject,weak_directional_evidence|negative_realistic_cost_return|large_drawdown|confidence_interval_crosses_chance|weak_permutation_evidence
42,2,2025-03-24,2025-05-21,0.5,0.7058823529411764,0.8095238095238095,0.0,0.2300460738298731,0.26171133347920006,0.048105875942442665,0.6422619047619048,1.0,1.0,0.7717085294697303,3.4010732716623506,7.545561678472722,4.642888833746728,-0.1662130102837236,1.0,199.9969482421875,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030_SPY_XGBoost_monthly_rolling_base_full,SPY,SPY,etfs,XGBoost,42,monthly_rolling,rolling,base,full,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09,168,trend_ichimoku_conv:0.0850|sma_200_research:0.0807|volatility_200_research:0.0728|ema_5:0.0686|volatility_50_research:0.0666|trend_ichimoku_conv:0.1297|ema_5:0.0979|volume_sma_50:0.0903|ema_100:0.0879|volatility_50:0.0719,not_run_dependency_unavailable,reject,weak_directional_evidence|weak_permutation_evidence
42,2,2025-03-24,2025-05-21,0.5,0.7058823529411764,0.8095238095238095,0.3088235294117647,0.1947172326613955,0.1572857598463694,0.048105875942442665,0.6190476190476191,1.0,1.0,0.7717085294697303,3.4010732716623506,7.545561678472722,4.642888833746728,-0.1662130102837236,1.0,199.9969482421875,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030_SPY_XGBoost_monthly_expanding_shallow_regularized_full,SPY,SPY,etfs,XGBoost,42,monthly_expanding,expanding,shallow_regularized,full,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09,168,volatility_100:0.1307|volatility_50_research:0.1258|trend_sma_fast:0.1088|trend_ema_slow:0.1066|ema_5:0.0968|volume_adi:0.2644|trend_adx_neg:0.2071|volume_nvi:0.1884|volume_vpt:0.1848|momentum_50_research:0.1553,not_run_dependency_unavailable,reject,weak_directional_evidence|weak_permutation_evidence
42,2,2025-03-24,2025-05-21,0.5,0.7058823529411764,0.8095238095238095,0.29411764705882354,0.23766849319388786,0.27901950052806307,0.048105875942442665,0.5714285714285714,1.0,1.0,0.7717085294697303,3.4010732716623506,7.545561678472722,4.642888833746728,-0.1662130102837236,1.0,199.9969482421875,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030_SPY_XGBoost_monthly_expanding_deeper_neighbor_full,SPY,SPY,etfs,XGBoost,42,monthly_expanding,expanding,deeper_neighbor,full,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09,168,ema_200:0.1014|ema_5:0.0613|volume_nvi:0.0555|momentum_ppo:0.0457|sma_100:0.0366|ema_200:0.1034|sma_200:0.0968|ema_10:0.0717|trend_ichimoku_a:0.0683|ema_5:0.0596,not_run_dependency_unavailable,reject,weak_directional_evidence|weak_permutation_evidence
42,2,2025-03-24,2025-05-21,0.5,0.7058823529411764,0.8095238095238095,0.3235294117647059,0.22419636763898806,0.27318225162369864,0.048105875942442665,0.5946428571428571,1.0,1.0,0.7717085294697303,3.4010732716623506,7.545561678472722,4.642888833746728,-0.1662130102837236,1.0,199.9969482421875,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030_SPY_XGBoost_monthly_expanding_base_remove_momentum,SPY,SPY,etfs,XGBoost,42,monthly_expanding,expanding,base,remove_momentum,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,b4fa6d5456d97861,144,sma_20_research:0.1055|ema_10:0.1052|sma_20:0.0695|ema_5:0.0597|volume_adi:0.0561|sma_20_research:0.1334|sma_200_research:0.1083|trend_ichimoku_conv:0.1034|volume_obv:0.0715|volume_adi:0.0578,not_run_dependency_unavailable,reject,weak_directional_evidence|weak_permutation_evidence
42,2,2025-03-24,2025-05-21,0.5,0.7058823529411764,0.8095238095238095,0.35294117647058826,0.20924091418516763,0.2586046088309515,0.048105875942442665,0.5946428571428571,1.0,1.0,0.7717085294697303,3.4010732716623506,7.545561678472722,4.642888833746728,-0.1662130102837236,1.0,199.9969482421875,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030_SPY_XGBoost_monthly_expanding_base_remove_volatility,SPY,SPY,etfs,XGBoost,42,monthly_expanding,expanding,base,remove_volatility,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,e995863ecdfac75e,135,sma_20_research:0.1532|ema_5:0.1039|volume_obv:0.0894|volume_nvi:0.0761|momentum_tsi:0.0711|ema_200:0.1566|ema_5:0.1080|momentum_200_research:0.0855|volume_adi:0.0764|volume_obv:0.0759,not_run_dependency_unavailable,reject,weak_directional_evidence|weak_permutation_evidence
42,2,2025-03-24,2025-05-21,0.5,0.7058823529411764,0.8095238095238095,0.0,0.18742916875744908,0.13072398872602553,0.048105875942442665,0.5946428571428571,1.0,1.0,0.7717085294697303,3.4010732716623506,7.545561678472722,4.642888833746728,-0.1662130102837236,1.0,199.9969482421875,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030_SPY_XGBoost_monthly_expanding_base_remove_volume,SPY,SPY,etfs,XGBoost,42,monthly_expanding,expanding,base,remove_volume,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,680d6e90e20b5228,146,volatility_dcl:0.1171|trend_ichimoku_base:0.0966|sma_200:0.0760|volatility_100:0.0705|trend_macd:0.0703|ema_5:0.1062|trend_ichimoku_b:0.1001|volatility_200_research:0.0834|momentum_200_research:0.0725|volatility_200:0.0641,not_run_dependency_unavailable,reject,weak_directional_evidence|weak_permutation_evidence
