run_id,asset,asset_class,model,feature_ablation,retraining_frequency,hyperparameter_variant,feature_count,feature_hash,balanced_accuracy,net_return_realistic,top_native_importance,shap_status
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,XGBoost,full,weekly_expanding,base,168,2338a5a4d6efca09,0.75,0.2668709987498983,sma_200_research:0.1848|sma_20_research:0.1837|volume_adi:0.1087|momentum_200_research:0.0763|volatility_200_research:0.0692|sma_200_research:0.1705|sma_200:0.1058|ema_100:0.0793|volume_adi:0.0785|momentum_200_research:0.0702,not_run_dependency_unavailable
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,XGBoost,full,monthly_expanding,base,168,2338a5a4d6efca09,0.5,0.7717085294697303,volatility_dcm:0.1202|volatility_100:0.0708|sma_200_research:0.0656|trend_ichimoku_a:0.0647|volume_sma_200:0.0575|high:0.1507|trend_ichimoku_conv:0.0960|ema_10:0.0893|volume_obv:0.0855|volatility_200_research:0.0755,not_run_dependency_unavailable
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,XGBoost,full,quarterly_expanding,base,168,2338a5a4d6efca09,0.5,-0.009874423266859611,ema_200:0.1313|sma_5_research:0.1072|volume_nvi:0.1052|trend_sma_fast:0.0727|volatility_20:0.0595|ema_10:0.1281|momentum_200_research:0.0908|volume_vpt:0.0802|sma_200_research:0.0525|trend_adx_neg:0.0514,not_run_dependency_unavailable
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,XGBoost,full,monthly_rolling,base,168,2338a5a4d6efca09,0.5,0.7717085294697303,trend_ichimoku_conv:0.0850|sma_200_research:0.0807|volatility_200_research:0.0728|ema_5:0.0686|volatility_50_research:0.0666|trend_ichimoku_conv:0.1297|ema_5:0.0979|volume_sma_50:0.0903|ema_100:0.0879|volatility_50:0.0719,not_run_dependency_unavailable
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,XGBoost,full,monthly_expanding,shallow_regularized,168,2338a5a4d6efca09,0.5,0.7717085294697303,volatility_100:0.1307|volatility_50_research:0.1258|trend_sma_fast:0.1088|trend_ema_slow:0.1066|ema_5:0.0968|volume_adi:0.2644|trend_adx_neg:0.2071|volume_nvi:0.1884|volume_vpt:0.1848|momentum_50_research:0.1553,not_run_dependency_unavailable
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,XGBoost,full,monthly_expanding,deeper_neighbor,168,2338a5a4d6efca09,0.5,0.7717085294697303,ema_200:0.1014|ema_5:0.0613|volume_nvi:0.0555|momentum_ppo:0.0457|sma_100:0.0366|ema_200:0.1034|sma_200:0.0968|ema_10:0.0717|trend_ichimoku_a:0.0683|ema_5:0.0596,not_run_dependency_unavailable
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,XGBoost,remove_momentum,monthly_expanding,base,144,b4fa6d5456d97861,0.5,0.7717085294697303,sma_20_research:0.1055|ema_10:0.1052|sma_20:0.0695|ema_5:0.0597|volume_adi:0.0561|sma_20_research:0.1334|sma_200_research:0.1083|trend_ichimoku_conv:0.1034|volume_obv:0.0715|volume_adi:0.0578,not_run_dependency_unavailable
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,XGBoost,remove_volatility,monthly_expanding,base,135,e995863ecdfac75e,0.5,0.7717085294697303,sma_20_research:0.1532|ema_5:0.1039|volume_obv:0.0894|volume_nvi:0.0761|momentum_tsi:0.0711|ema_200:0.1566|ema_5:0.1080|momentum_200_research:0.0855|volume_adi:0.0764|volume_obv:0.0759,not_run_dependency_unavailable
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,XGBoost,remove_volume,monthly_expanding,base,146,680d6e90e20b5228,0.5,0.7717085294697303,volatility_dcl:0.1171|trend_ichimoku_base:0.0966|sma_200:0.0760|volatility_100:0.0705|trend_macd:0.0703|ema_5:0.1062|trend_ichimoku_b:0.1001|volatility_200_research:0.0834|momentum_200_research:0.0725|volatility_200:0.0641,not_run_dependency_unavailable
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,XGBoost,remove_lagged_returns,monthly_expanding,base,156,59583af45b29711a,0.5,0.7717085294697303,volatility_kch:0.2045|volatility_200_research:0.1114|volatility_kcw:0.0790|volume_nvi:0.0714|trend_adx_neg:0.0698|sma_20_research:0.1335|ema_200:0.1276|ema_5:0.0842|volume_vpt:0.0725|volume_adi:0.0623,not_run_dependency_unavailable
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,XGBoost,noisy_full,monthly_expanding,base,168,2338a5a4d6efca09,0.5,0.7717085294697303,sma_200_research:0.1433|volume_adi:0.0827|quarter:0.0687|sma_20:0.0677|volume_nvi:0.0674|sma_20_research:0.1586|sma_200_research:0.1492|ema_10:0.0949|volume_obv:0.0906|volume_adi:0.0693,not_run_dependency_unavailable
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,CatBoost,full,weekly_expanding,base,168,2338a5a4d6efca09,0.25,-0.21802212200425064,volatility_100:16.7934|trend_ichimoku_b:12.5812|sma_10:12.5509|volume_sma_200:10.8525|trend_visual_ichimoku_b:10.0373|volume_adi:19.9346|volume_vwap:14.6993|volatility_200:13.3648|week_of_year:12.1999|sma_100:10.5548,not_run_dependency_unavailable
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,CatBoost,full,monthly_expanding,base,168,2338a5a4d6efca09,0.5,0.7717085294697303,week_of_year:24.6943|volatility_100_research:14.9481|volume_vpt:13.5482|momentum_tsi:7.1324|trend_adx:6.2283|sma_200:17.5294|volume_vwap:14.7526|volume_nvi:14.2708|close_lag_3:13.8176|volume_sma_200:9.6917,not_run_dependency_unavailable
