Date,Stock Splits
2000-06-27 09:30:00-04:00,2.0
2001-09-12 09:30:00-04:00,2.0
2006-04-07 09:30:00-04:00,2.0
2007-09-11 09:30:00-04:00,1.5
2021-07-20 09:30:00-04:00,4.0
2024-06-10 09:30:00-04:00,10.0
