block_length,ci_low,ci_high,circular_shift_p,asset,model,seed,fold_id
25,0.16278343023255815,0.46878720238095234,1.0,SPY,momentum,23,long_window_01
40,0.1833108108108108,0.4563116399082568,1.0,SPY,momentum,23,long_window_01
20,0.5,0.5,1.0,SPY,moving_average,23,long_window_01
25,0.5,0.5,1.0,SPY,moving_average,23,long_window_01
40,0.5,0.5,1.0,SPY,moving_average,23,long_window_01
20,0.49076415094339626,0.5468783967391304,0.27972027972027974,SPY,logistic_regression,23,long_window_01
25,0.49090538537549405,0.549456272893773,0.28471528471528473,SPY,logistic_regression,23,long_window_01
40,0.48210509599096557,0.5435260891434672,0.3276723276723277,SPY,logistic_regression,23,long_window_01
20,0.5,0.5,1.0,SPY,LightGBM,23,long_window_01
25,0.5,0.5,1.0,SPY,LightGBM,23,long_window_01
40,0.5,0.5,1.0,SPY,LightGBM,23,long_window_01
20,0.5,0.5,1.0,SPY,XGBoost,23,long_window_01
25,0.5,0.5,1.0,SPY,XGBoost,23,long_window_01
40,0.5,0.5,1.0,SPY,XGBoost,23,long_window_01
20,0.24746163366336635,0.4722237781659584,1.0,SPY,CatBoost,23,long_window_01
25,0.2349923469387755,0.47679055915940877,1.0,SPY,CatBoost,23,long_window_01
40,0.22678305908009516,0.46309771309771314,1.0,SPY,CatBoost,23,long_window_01
20,0.4629715572470026,0.5662071078431372,0.44255744255744256,SPY,random,42,long_window_01
25,0.46522113097034473,0.5622917291729173,0.4515484515484515,SPY,random,42,long_window_01
40,0.4814751395409501,0.5750187530742744,0.5164835164835165,SPY,random,42,long_window_01
20,0.5,0.5,1.0,SPY,historical_mean,42,long_window_01
25,0.5,0.5,1.0,SPY,historical_mean,42,long_window_01
40,0.5,0.5,1.0,SPY,historical_mean,42,long_window_01
20,0.3484683222345542,0.6158411654135337,0.4755244755244755,SPY,random_walk,42,long_window_01
25,0.3696054964539007,0.6190596440596441,0.5064935064935064,SPY,random_walk,42,long_window_01
40,0.39285714285714285,0.6092740908680188,0.5794205794205795,SPY,random_walk,42,long_window_01
20,0.5,0.5,1.0,SPY,buy_hold,42,long_window_01
25,0.5,0.5,1.0,SPY,buy_hold,42,long_window_01
40,0.5,0.5,1.0,SPY,buy_hold,42,long_window_01
20,0.1682755775577558,0.4712436868686868,1.0,SPY,momentum,42,long_window_01
25,0.1610897435897436,0.4761112872542801,1.0,SPY,momentum,42,long_window_01
40,0.18329545454545454,0.4576084905660377,1.0,SPY,momentum,42,long_window_01
20,0.5,0.5,1.0,SPY,moving_average,42,long_window_01
25,0.5,0.5,1.0,SPY,moving_average,42,long_window_01
40,0.5,0.5,1.0,SPY,moving_average,42,long_window_01
20,0.4907603663446055,0.5504726933841625,0.26673326673326675,SPY,logistic_regression,42,long_window_01
25,0.49326576380737075,0.5527854938271605,0.3146853146853147,SPY,logistic_regression,42,long_window_01
40,0.4762822322604931,0.5439882697947214,0.36063936063936064,SPY,logistic_regression,42,long_window_01
20,0.5,0.5,1.0,SPY,LightGBM,42,long_window_01
25,0.5,0.5,1.0,SPY,LightGBM,42,long_window_01
40,0.5,0.5,1.0,SPY,LightGBM,42,long_window_01
20,0.5,0.5,1.0,SPY,XGBoost,42,long_window_01
25,0.5,0.5,1.0,SPY,XGBoost,42,long_window_01
40,0.5,0.5,1.0,SPY,XGBoost,42,long_window_01
20,0.5,0.5659401260504201,0.5934065934065934,SPY,CatBoost,42,long_window_01
25,0.5,0.5652173913043478,0.5394605394605395,SPY,CatBoost,42,long_window_01
40,0.5,0.5506329113924051,0.6003996003996004,SPY,CatBoost,42,long_window_01
20,0.5142853889202204,0.6658550443458979,0.15384615384615385,SPY,random,11,long_window_02
25,0.5124379042089457,0.6666689152725311,0.16783216783216784,SPY,random,11,long_window_02
40,0.505738880918221,0.650059218950064,0.16883116883116883,SPY,random,11,long_window_02
20,0.5,0.5,1.0,SPY,historical_mean,11,long_window_02
25,0.5,0.5,1.0,SPY,historical_mean,11,long_window_02
40,0.5,0.5,1.0,SPY,historical_mean,11,long_window_02
20,0.4059688479623824,0.5702992277992277,0.7692307692307693,SPY,random_walk,11,long_window_02
25,0.4203593815956099,0.5727022058823529,0.7832167832167832,SPY,random_walk,11,long_window_02
40,0.42553950668896323,0.6783811475409836,0.7152847152847153,SPY,random_walk,11,long_window_02
20,0.5,0.5,1.0,SPY,buy_hold,11,long_window_02
25,0.5,0.5,1.0,SPY,buy_hold,11,long_window_02
40,0.5,0.5,1.0,SPY,buy_hold,11,long_window_02
20,0.24316440447071008,0.5017899642013907,0.8071928071928072,SPY,momentum,11,long_window_02
25,0.20392711558307533,0.49344965675057206,0.7962037962037962,SPY,momentum,11,long_window_02
40,0.17317525717183424,0.491869918699187,0.7822177822177823,SPY,momentum,11,long_window_02
20,0.5,0.5,1.0,SPY,moving_average,11,long_window_02
25,0.5,0.5,1.0,SPY,moving_average,11,long_window_02
40,0.5,0.5,1.0,SPY,moving_average,11,long_window_02
20,0.3669549150036955,0.6481750066454014,0.4695304695304695,SPY,logistic_regression,11,long_window_02
25,0.3539488636363637,0.6531748726655349,0.46053946053946054,SPY,logistic_regression,11,long_window_02
40,0.3499303941052948,0.598018514666112,0.3596403596403596,SPY,logistic_regression,11,long_window_02
20,0.5,0.5,1.0,SPY,LightGBM,11,long_window_02
25,0.5,0.5,1.0,SPY,LightGBM,11,long_window_02
40,0.5,0.5,1.0,SPY,LightGBM,11,long_window_02
20,0.5,0.5,1.0,SPY,XGBoost,11,long_window_02
25,0.5,0.5,1.0,SPY,XGBoost,11,long_window_02
40,0.5,0.5,1.0,SPY,XGBoost,11,long_window_02
20,0.5,0.5,1.0,SPY,CatBoost,11,long_window_02
25,0.5,0.5,1.0,SPY,CatBoost,11,long_window_02
40,0.5,0.5,1.0,SPY,CatBoost,11,long_window_02
20,0.37293234093975286,0.5732609570661896,0.8281718281718282,SPY,random,17,long_window_02
25,0.3406595849802372,0.5723837209302325,0.8111888111888111,SPY,random,17,long_window_02
40,0.31666666666666665,0.5592438959777474,0.7952047952047953,SPY,random,17,long_window_02
20,0.5,0.5,1.0,SPY,historical_mean,17,long_window_02
25,0.5,0.5,1.0,SPY,historical_mean,17,long_window_02
40,0.5,0.5,1.0,SPY,historical_mean,17,long_window_02
20,0.40846104725415067,0.5966386554621849,0.7602397602397603,SPY,random_walk,17,long_window_02
