observations,balanced_accuracy,roc_auc,brier,ece,probability_mean,probability_std,probability_min,probability_max,positive_rate,collapse_flag,asset,asset_class,model,seed,fold_id,dataset_hash,feature_hash
126,0.5,0.4056695992179863,0.20020775317608325,0.05499828618670266,0.6830969519085355,0.029202488364324652,0.6267048716545105,0.7277344465255737,1.0,True,SPY,etfs,XGBoost,17,long_window_01,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.2380254154447703,0.2368849788204627,0.26133123863852104,0.24244529952051347,0.49564993857472467,0.02390744029725702,0.45154753081539123,0.5316595462366411,0.49206349206349204,False,SPY,etfs,CatBoost,17,long_window_01,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.4032258064516129,0.4203323558162268,0.3495323809166423,0.36858495727771373,0.5157270545765323,0.2813028697103269,0.012823118470840722,0.9952907818192178,0.5238095238095238,False,SPY,etfs,random,23,long_window_01,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.5,0.5,0.19672005234444495,0.0583900226757369,0.6797052154195012,1.1102230246251565e-16,0.6797052154195011,0.6797052154195011,1.0,True,SPY,etfs,historical_mean,23,long_window_01,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.5078201368523949,0.5078201368523949,0.2477380952380953,0.22936507936507955,0.5087301587301586,0.04923194418816136,0.45,0.55,0.5873015873015873,False,SPY,etfs,random_walk,23,long_window_01,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.5,0.5,0.2619047619047619,0.26190476190476186,1.0,0.0,1.0,1.0,1.0,True,SPY,etfs,buy_hold,23,long_window_01,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.3225806451612903,0.3225806451612903,0.2548809523809524,0.2142857142857144,0.5238095238095237,0.043967107887189036,0.45,0.55,0.7380952380952381,False,SPY,etfs,momentum,23,long_window_01,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.5,0.5,0.22869047619047622,0.18809523809523843,0.5499999999999997,3.3306690738754696e-16,0.55,0.55,1.0,True,SPY,etfs,moving_average,23,long_window_01,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.5332355816226784,0.5434995112414467,0.4004543648559478,0.4477822488768195,0.2903129892184186,0.12935539190306472,0.062246428138912534,0.6174683665520588,0.07936507936507936,False,SPY,etfs,logistic_regression,23,long_window_01,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.5,0.5,0.19332155332840575,0.003300868375717525,0.7347943697195206,0.0,0.7347943697195206,0.7347943697195206,1.0,True,SPY,etfs,LightGBM,23,long_window_01,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.5,0.4108830237862496,0.19861269500228926,0.05597954278900519,0.682115695306233,0.01798875921226065,0.6538893580436707,0.7120320200920105,1.0,True,SPY,etfs,XGBoost,23,long_window_01,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.39491691104594334,0.23900293255131966,0.2499859790472103,0.2238737289154652,0.5142215091797729,0.019001380592846027,0.4724113091684106,0.5300280108197374,0.753968253968254,False,SPY,etfs,CatBoost,23,long_window_01,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.5146627565982405,0.4952753339850114,0.3305304492305445,0.30827065258933667,0.49297861963187856,0.2721265145556755,0.007362269751005512,0.9756223516367559,0.47619047619047616,False,SPY,etfs,random,42,long_window_01,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.5,0.5,0.19672005234444495,0.0583900226757369,0.6797052154195012,1.1102230246251565e-16,0.6797052154195011,0.6797052154195011,1.0,True,SPY,etfs,historical_mean,42,long_window_01,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.5078201368523949,0.5078201368523949,0.2477380952380953,0.22936507936507955,0.5087301587301586,0.04923194418816136,0.45,0.55,0.5873015873015873,False,SPY,etfs,random_walk,42,long_window_01,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.5,0.5,0.2619047619047619,0.26190476190476186,1.0,0.0,1.0,1.0,1.0,True,SPY,etfs,buy_hold,42,long_window_01,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.3225806451612903,0.3225806451612903,0.2548809523809524,0.2142857142857144,0.5238095238095237,0.043967107887189036,0.45,0.55,0.7380952380952381,False,SPY,etfs,momentum,42,long_window_01,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.5,0.5,0.22869047619047622,0.18809523809523843,0.5499999999999997,3.3306690738754696e-16,0.55,0.55,1.0,True,SPY,etfs,moving_average,42,long_window_01,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.5332355816226784,0.5434995112414467,0.4004543648559478,0.4477822488768195,0.2903129892184186,0.12935539190306472,0.062246428138912534,0.6174683665520588,0.07936507936507936,False,SPY,etfs,logistic_regression,42,long_window_01,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.5,0.33691756272401435,0.197100226619631,0.007758191297483785,0.7458534293927219,0.013671544935589629,0.7252770910558957,0.7559785487991284,1.0,True,SPY,etfs,LightGBM,42,long_window_01,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.5,0.3818833496252851,0.20466207665116765,0.060939724483187296,0.6771555136120508,0.030860992964935878,0.6286585330963135,0.7285182476043701,1.0,True,SPY,etfs,XGBoost,42,long_window_01,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.521505376344086,0.4947865754317367,0.27317913566616103,0.2822250224075325,0.45587021568770564,0.018102620034428796,0.41380304035349286,0.5033572529559595,0.031746031746031744,True,SPY,etfs,CatBoost,42,long_window_01,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.5632183908045977,0.5661656351311524,0.33191778117734727,0.30431897279531434,0.44549721749934507,0.2992473226702489,0.016877215097497844,0.9988024876324018,0.42063492063492064,False,SPY,etfs,random,11,long_window_02,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.5,0.5,0.21378622792755628,0.008210180623973717,0.6822660098522167,0.0,0.6822660098522167,0.6822660098522167,1.0,True,SPY,etfs,historical_mean,11,long_window_02,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.4854111405835544,0.4854111405835544,0.25011904761904763,0.1809523809523811,0.5095238095238094,0.049084590781162646,0.45,0.55,0.5952380952380952,False,SPY,etfs,random_walk,11,long_window_02,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.5,0.5,0.30952380952380953,0.30952380952380953,1.0,0.0,1.0,1.0,1.0,True,SPY,etfs,buy_hold,11,long_window_02,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
