run_id,asset,asset_class,model,regime,period,observations,balanced_accuracy,roc_auc,net_return_realistic,sharpe_realistic,max_drawdown_realistic,retraining_frequency,hyperparameter_variant,feature_ablation
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,CatBoost,sideways,holdout_not_evaluated,39,0.5,0.4714285714285714,-0.2829315546810559,-2.112328730348033,-0.7499605579385038,quarterly_expanding,base,full
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,CatBoost,high_volatility,holdout_not_evaluated,39,0.20967741935483872,0.0,0.09591338293416385,0.4797509722316169,-0.5764498261879976,monthly_rolling,base,full
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,CatBoost,sideways,holdout_not_evaluated,3,0.25,0.5,-0.11819406109377262,-3.1508427303902673,-0.030956540037869296,monthly_rolling,base,full
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,CatBoost,high_volatility,holdout_not_evaluated,39,0.5,0.7903225806451613,0.8318112042453445,3.551252086289857,-0.1662130102837236,monthly_expanding,shallow_regularized,full
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,CatBoost,sideways,holdout_not_evaluated,3,0.75,0.5,0.12422696565605662,2.9463643672911597,0.0,monthly_expanding,shallow_regularized,full
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,CatBoost,high_volatility,holdout_not_evaluated,39,0.3870967741935484,0.12701612903225806,0.41831903684822924,1.6328912552852626,-0.26937068996633773,monthly_expanding,deeper_neighbor,full
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,CatBoost,sideways,holdout_not_evaluated,3,0.75,0.5,0.12422696565605662,2.9463643672911597,0.0,monthly_expanding,deeper_neighbor,full
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,CatBoost,high_volatility,holdout_not_evaluated,39,0.20967741935483872,0.010080645161290322,0.09591338293416385,0.4797509722316169,-0.5764498261879976,monthly_expanding,base,remove_momentum
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,CatBoost,sideways,holdout_not_evaluated,3,0.25,0.5,-0.11819406109377262,-3.1508427303902673,-0.030956540037869296,monthly_expanding,base,remove_momentum
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,CatBoost,high_volatility,holdout_not_evaluated,39,0.2903225806451613,0.06854838709677419,0.14896835634025418,0.670744060853504,-0.5418828353886906,monthly_expanding,base,remove_volatility
