cost_scenario,gross_return,net_return,sharpe,sortino,calmar,max_drawdown,turnover,total_cost,run_id,asset,asset_class,model,retraining_frequency,hyperparameter_variant,feature_ablation,break_even_cost_bps
diagnostic_0bps,0.7721440162492135,0.7721440162492135,3.405440915173106,7.635068739914937,4.665650137203144,-0.16549548156049276,1.0,0.0,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,XGBoost,monthly_expanding,shallow_regularized,full,199.9969482421875
realistic,0.7721440162492135,0.7717085294697303,3.4010732716623506,7.545561678472722,4.642888833746728,-0.1662130102837236,1.0,0.0008,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,XGBoost,monthly_expanding,shallow_regularized,full,199.9969482421875
stress_15bps,0.7721440162492135,0.7713272588947191,3.397243980545844,7.46862519875828,4.623131975932632,-0.16684084791655074,1.0,0.0015,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,XGBoost,monthly_expanding,shallow_regularized,full,199.9969482421875
stress_25bps,0.7721440162492135,0.7707822304851366,3.391761445640515,7.360906354063001,4.5951623290111945,-0.16773775882058917,1.0,0.0025,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,XGBoost,monthly_expanding,shallow_regularized,full,199.9969482421875
diagnostic_0bps,0.7721440162492135,0.7721440162492135,3.405440915173106,7.635068739914937,4.665650137203144,-0.16549548156049276,1.0,0.0,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,XGBoost,monthly_expanding,deeper_neighbor,full,199.9969482421875
realistic,0.7721440162492135,0.7717085294697303,3.4010732716623506,7.545561678472722,4.642888833746728,-0.1662130102837236,1.0,0.0008,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,XGBoost,monthly_expanding,deeper_neighbor,full,199.9969482421875
stress_15bps,0.7721440162492135,0.7713272588947191,3.397243980545844,7.46862519875828,4.623131975932632,-0.16684084791655074,1.0,0.0015,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,XGBoost,monthly_expanding,deeper_neighbor,full,199.9969482421875
stress_25bps,0.7721440162492135,0.7707822304851366,3.391761445640515,7.360906354063001,4.5951623290111945,-0.16773775882058917,1.0,0.0025,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,XGBoost,monthly_expanding,deeper_neighbor,full,199.9969482421875
diagnostic_0bps,0.7721440162492135,0.7721440162492135,3.405440915173106,7.635068739914937,4.665650137203144,-0.16549548156049276,1.0,0.0,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,XGBoost,monthly_expanding,base,remove_momentum,199.9969482421875
realistic,0.7721440162492135,0.7717085294697303,3.4010732716623506,7.545561678472722,4.642888833746728,-0.1662130102837236,1.0,0.0008,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,XGBoost,monthly_expanding,base,remove_momentum,199.9969482421875
